texte,label
"Le technicien est arrivé à l'heure et a très bien expliqué la panne.",1
"Service impeccable, je recommande vivement cette entreprise.",1
"Livraison rapide et produit conforme à la description.",1
"Un accueil chaleureux et un travail soigné, merci beaucoup.",1
"Le devis était clair et le prix respecté à l'euro près.",1
"Très professionnel, je referai appel à eux sans hésiter.",1
"Le chantier a été livré avec une semaine d'avance, bravo.",1
"Excellente communication tout au long du projet.",1
"Le SAV a résolu mon problème en une seule visite.",1
"Prestation de qualité, je suis pleinement satisfait.",1
"L'équipe a été ponctuelle, courtoise et efficace.",1
"Un résultat qui dépasse mes attentes, merci à toute l'équipe.",1
"Le conseiller a pris le temps de bien m'expliquer les options.",1
"Facturation transparente, aucune mauvaise surprise.",1
"Je suis ravi du résultat final, tout est parfait.",1
"Le rendez-vous a été confirmé rapidement et respecté.",1
"Un travail propre et fini dans les temps.",1
"Personnel très à l'écoute de mes besoins.",1
"Le suivi après-vente est vraiment rassurant.",1
"Tout s'est déroulé sans le moindre accroc.",1
"Le rendez-vous a été annulé sans aucune explication.",0
"Trois semaines de retard sur les travaux, c'est inacceptable.",0
"Le devis final ne correspondait pas du tout à l'estimation initiale.",0
"Personne ne répond au téléphone depuis une semaine.",0
"La qualité de la finition laisse vraiment à désirer.",0
"J'ai dû rappeler cinq fois pour obtenir une réponse.",0
"Le technicien est reparti sans terminer le travail.",0
"Facturation incompréhensible et pleine d'erreurs.",0
"Le matériel livré était endommagé et personne ne m'a recontacté.",0
"Un accueil froid et peu professionnel.",0
"Le chantier a été laissé en désordre pendant des jours.",0
"Aucun suivi après la signature du contrat.",0
"Le prix a doublé sans aucune justification.",0
"Très déçu par le manque de communication.",0
"Le sinistre n'a toujours pas été traité après un mois.",0
"Le service client m'a raccroché au nez.",0
"Des erreurs répétées sur la facture malgré mes relances.",0
"Le résultat ne correspond pas du tout à ce qui était promis.",0
"Je ne recommande pas du tout cette entreprise.",0
"Encore un rendez-vous manqué sans prévenir, c'est la troisième fois.",0
